EXEC|Time|ID|Message|LISTEN|TRANSMIT
1|306964|6|Rime started with address 0.18.116.6.0.6.6.6|NA|NA
1|315278|6|MAC 00:12:74:06:00:06:06:06 Contiki-3.0 started. Node id is set to 6.|NA|NA
1|323802|6|nullsec CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26, CCA threshold -45|NA|NA
1|334790|6|Tentative link-local IPv6 address fe80:0000:0000:0000:0212:7406:0006:0606|NA|NA
1|336831|6|Starting 'UDP client process'|NA|NA
1|339388|6|UDP client process started|NA|NA
1|343819|6|Client IPv6 addresses: aaaa::212:7406:6:606|NA|NA
1|346750|6|fe80::212:7406:6:606|NA|NA
1|352139|6|Created a connection with the server :: local/remote port 8765/5678|NA|NA
1|437978|2|Rime started with address 0.18.116.2.0.2.2.2|NA|NA
1|446290|2|MAC 00:12:74:02:00:02:02:02 Contiki-3.0 started. Node id is set to 2.|NA|NA
1|454814|2|nullsec CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26, CCA threshold -45|NA|NA
1|465802|2|Tentative link-local IPv6 address fe80:0000:0000:0000:0212:7402:0002:0202|NA|NA
1|467843|2|Starting 'UDP client process'|NA|NA
1|470400|2|UDP client process started|NA|NA
1|474829|2|Client IPv6 addresses: aaaa::212:7402:2:202|NA|NA
1|477758|2|fe80::212:7402:2:202|NA|NA
1|483147|2|Created a connection with the server :: local/remote port 8765/5678|NA|NA
1|503727|3|Rime started with address 0.18.116.3.0.3.3.3|NA|NA
1|512037|3|MAC 00:12:74:03:00:03:03:03 Contiki-3.0 started. Node id is set to 3.|NA|NA
1|520561|3|nullsec CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26, CCA threshold -45|NA|NA
1|531549|3|Tentative link-local IPv6 address fe80:0000:0000:0000:0212:7403:0003:0303|NA|NA
1|533590|3|Starting 'UDP client process'|NA|NA
1|536147|3|UDP client process started|NA|NA
1|540578|3|Client IPv6 addresses: aaaa::212:7403:3:303|NA|NA
1|543509|3|fe80::212:7403:3:303|NA|NA
1|548898|3|Created a connection with the server :: local/remote port 8765/5678|NA|NA
1|577152|7|Rime started with address 0.18.116.7.0.7.7.7|NA|NA
1|585467|7|MAC 00:12:74:07:00:07:07:07 Contiki-3.0 started. Node id is set to 7.|NA|NA
1|593991|7|nullsec CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26, CCA threshold -45|NA|NA
1|604979|7|Tentative link-local IPv6 address fe80:0000:0000:0000:0212:7407:0007:0707|NA|NA
1|607020|7|Starting 'UDP client process'|NA|NA
1|609577|7|UDP client process started|NA|NA
1|614010|7|Client IPv6 addresses: aaaa::212:7407:7:707|NA|NA
1|616943|7|fe80::212:7407:7:707|NA|NA
1|622332|7|Created a connection with the server :: local/remote port 8765/5678|NA|NA
1|680354|10|Rime started with address 0.18.116.10.0.10.10.10|NA|NA
1|688710|10|MAC 00:12:74:0a:00:0a:0a:0a Contiki-3.0 started. Node id is set to 10.|NA|NA
1|697310|10|nullsec CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26, CCA threshold -45|NA|NA
1|708304|10|Tentative link-local IPv6 address fe80:0000:0000:0000:0212:740a:000a:0a0a|NA|NA
1|710345|10|Starting 'UDP client process'|NA|NA
1|712982|10|UDP client process started|NA|NA
1|717420|10|Client IPv6 addresses: aaaa::212:740a:a:a0a|NA|NA
1|720357|10|fe80::212:740a:a:a0a|NA|NA
1|725746|10|Created a connection with the server :: local/remote port 8765/5678|NA|NA
1|756466|8|Rime started with address 0.18.116.8.0.8.8.8|NA|NA
1|764783|8|MAC 00:12:74:08:00:08:08:08 Contiki-3.0 started. Node id is set to 8.|NA|NA
1|773307|8|nullsec CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26, CCA threshold -45|NA|NA
1|784295|8|Tentative link-local IPv6 address fe80:0000:0000:0000:0212:7408:0008:0808|NA|NA
1|786336|8|Starting 'UDP client process'|NA|NA
1|788893|8|UDP client process started|NA|NA
1|793322|8|Client IPv6 addresses: aaaa::212:7408:8:808|NA|NA
1|795082|4|Rime started with address 0.18.116.4.0.4.4.4|NA|NA
1|796251|8|fe80::212:7408:8:808|NA|NA
1|796678|9|Rime started with address 0.18.116.9.0.9.9.9|NA|NA
1|801640|8|Created a connection with the server :: local/remote port 8765/5678|NA|NA
1|803396|4|MAC 00:12:74:04:00:04:04:04 Contiki-3.0 started. Node id is set to 4.|NA|NA
1|804987|9|MAC 00:12:74:09:00:09:09:09 Contiki-3.0 started. Node id is set to 9.|NA|NA
1|811920|4|nullsec CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26, CCA threshold -45|NA|NA
1|813512|9|nullsec CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26, CCA threshold -45|NA|NA
1|822908|4|Tentative link-local IPv6 address fe80:0000:0000:0000:0212:7404:0004:0404|NA|NA
1|824500|9|Tentative link-local IPv6 address fe80:0000:0000:0000:0212:7409:0009:0909|NA|NA
1|824949|4|Starting 'UDP client process'|NA|NA
1|826541|9|Starting 'UDP client process'|NA|NA
1|827506|4|UDP client process started|NA|NA
1|829097|9|UDP client process started|NA|NA
1|831935|4|Client IPv6 addresses: aaaa::212:7404:4:404|NA|NA
1|833529|9|Client IPv6 addresses: aaaa::212:7409:9:909|NA|NA
1|834864|4|fe80::212:7404:4:404|NA|NA
1|836460|9|fe80::212:7409:9:909|NA|NA
1|840253|4|Created a connection with the server :: local/remote port 8765/5678|NA|NA
1|841849|9|Created a connection with the server :: local/remote port 8765/5678|NA|NA
1|899106|5|Rime started with address 0.18.116.5.0.5.5.5|NA|NA
1|907417|5|MAC 00:12:74:05:00:05:05:05 Contiki-3.0 started. Node id is set to 5.|NA|NA
1|915941|5|nullsec CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26, CCA threshold -45|NA|NA
1|926929|5|Tentative link-local IPv6 address fe80:0000:0000:0000:0212:7405:0005:0505|NA|NA
1|928970|5|Starting 'UDP client process'|NA|NA
1|931527|5|UDP client process started|NA|NA
1|935958|5|Client IPv6 addresses: aaaa::212:7405:5:505|NA|NA
1|938889|5|fe80::212:7405:5:505|NA|NA
1|944278|5|Created a connection with the server :: local/remote port 8765/5678|NA|NA
1|1031833|1|Rime started with address 0.18.116.1.0.1.1.1|NA|NA
1|1040147|1|MAC 00:12:74:01:00:01:01:01 Contiki-3.0 started. Node id is set to 1.|NA|NA
1|1048672|1|nullsec CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26, CCA threshold -45|NA|NA
1|1059660|1|Tentative link-local IPv6 address fe80:0000:0000:0000:0212:7401:0001:0101|NA|NA
1|1061701|1|Starting 'UDP server process'|NA|NA
1|1063336|1|UDP server started|NA|NA
1|1067252|1|created a new RPL dag|NA|NA
1|1071756|1|Server IPv6 addresses: aaaa::212:7401:1:101|NA|NA
1|1073900|1|aaaa::ff:fe00:1|NA|NA
1|1076784|1|fe80::212:7401:1:101|NA|NA
1|1082986|1|Created a server connection with remote address :: local/remote port 5678/8765|NA|NA
1|5335161|6| |1517|2606
1|5466329|2| |1545|2606
1|5531035|3| |1520|0
1|5604308|7| |1266|0
1|5707949|10| |1105|2609
1|5783620|8| |1053|0
1|5822232|4| |1361|0
1|5824870|9| |1511|2606
1|5927293|5| |1686|2614
1|6060837|1| |159852|3268
1|10334257|6| |1813|0
1|10466247|2| |1887|3150
1|10531995|3| |1277|3074
1|10604444|7| |1378|0
1|10706889|10| |1080|0
1|10787584|8| |1361|0
1|10823966|9| |1472|0
1|10851259|4| |1999|3468
1|10927391|5| |2920|6031
1|11059755|1| |163836|0
1|15335233|6| |2866|4516
1|15466270|2| |3265|2240
1|15531676|3| |3133|240
1|15605422|7| |4519|8365
1|15708046|10| |3766|7790
1|15784743|8| |2541|5951
1|15823342|4| |2822|2881
1|15824945|9| |2477|4914
1|15927016|5| |2205|480
1|16062201|1| |160567|3265
1|20335283|6| |3308|2989
1|20466245|2| |2418|3148
1|20531993|3| |2363|3069
1|20605825|7| |5600|12132
1|20708074|10| |1977|2991
1|20784735|8| |1131|2991
1|20823401|4| |2182|2985
1|20824937|9| |2406|3629
1|20927770|5| |5481|10516
1|21059753|1| |163791|0
1|25334872|6| |1683|320
1|25465866|2| |1939|160
1|25531962|3| |3259|3202
1|25605393|7| |2408|1921
1|25708010|10| |1686|1361
1|25783692|8| |1276|0
1|25823323|4| |2606|3600
1|25823892|9| |1080|0
1|25926993|5| |1763|481
1|26059755|1| |163837|0
1|30334218|6| |1372|0
1|30466294|2| |1405|2992
1|30532039|3| |1363|2989
1|30604404|7| |1298|0
1|30706955|10| |1080|0
1|30783669|8| |1080|0
1|30822333|4| |1367|0
1|30823874|9| |1080|0
1|30926354|5| |1326|0
1|31060803|1| |160523|3263
1|35335303|6| |2939|5641
1|35465961|2| |2262|960
1|35531708|3| |2265|240
1|35605474|7| |3763|5367
1|35707026|10| |1452|0
1|35784807|8| |2348|4200
1|35825062|9| |2008|2991
1|35826056|4| |4081|7566
1|35927443|5| |2955|4197
1|36059755|1| |163837|0
1|39854464|5|DATA sent to 1 seqn 1|NA|NA
1|39974862|1|DATA recv from 5 seqn 1|NA|NA
1|40334218|6| |1868|0
1|40465901|2| |2095|171
1|40530954|3| |1298|0
1|40605451|7| |1440|2990
1|40708106|10| |1409|2998
1|40783721|8| |1080|0
1|40822338|4| |1270|0
1|40824964|9| |1982|1600
1|40927351|5| |2381|2489
1|41059755|1| |163837|0
1|44220015|7|DATA sent to 1 seqn 1|NA|NA
1|44291790|1|DATA recv from 7 seqn 1|NA|NA
1|44981076|6|DATA sent to 1 seqn 1|NA|NA
1|45041295|1|DATA recv from 6 seqn 1|NA|NA
1|45334868|6| |1584|633
1|45465555|2| |1409|81
1|45531652|3| |2121|261
1|45605395|7| |2131|1627
1|45707681|10| |1479|800
1|45783702|8| |1080|0
1|45822315|4| |1080|0
1|45823907|9| |1080|0
1|45926302|5| |1080|0
1|46059755|1| |163837|0
1|46891068|4|DATA sent to 1 seqn 1|NA|NA
1|46978069|1|DATA recv from 4 seqn 1|NA|NA
1|47076272|3|DATA sent to 1 seqn 1|NA|NA
1|47096784|1|DATA recv from 3 seqn 1|NA|NA
1|47789955|8|DATA sent to 1 seqn 1|NA|NA
1|47853068|1|DATA recv from 8 seqn 1|NA|NA
1|47955837|2|DATA sent to 1 seqn 1|NA|NA
1|47976206|1|DATA recv from 2 seqn 1|NA|NA
1|50334164|6| |1080|0
1|50465872|2| |2032|271
1|50531272|3| |1224|90
1|50604353|7| |1080|0
1|50706988|10| |1080|0
1|50784363|8| |1255|181
1|50823324|4| |1953|1453
1|50823907|9| |1080|0
1|50926307|5| |1276|0
1|51059755|1| |163837|0
1|55334164|6| |1080|0
1|55465175|2| |1080|0
1|55530923|3| |1080|0
1|55604353|7| |1080|0
1|55706988|10| |1080|0
1|55783668|8| |1080|0
1|55822281|4| |1080|0
1|55823907|9| |1080|0
1|55926302|5| |1080|0
1|56059755|1| |163837|0
1|57816556|9|DATA sent to 1 seqn 1|NA|NA
1|57977292|1|DATA recv from 9 seqn 1|NA|NA
1|59338286|10|DATA sent to 1 seqn 1|NA|NA
1|59540831|1|DATA recv from 10 seqn 1|NA|NA
1|60334218|6| |1724|0
1|60466294|2| |1803|3085
1|60532041|3| |1926|3080
1|60605423|7| |1877|3900
1|60708059|10| |2393|2818
1|60784736|8| |1131|2990
1|60822332|4| |1682|0
1|60829304|9| |2352|2089
1|60927004|5| |2051|635
1|61060805|1| |160530|3263
1|65335658|6| |5961|13969
1|65466287|2| |2680|1443
1|65532043|3| |3578|2165
1|65556957|10|DATA sent to 1 seqn 2|NA|NA
1|65655093|7| |3453|1710
1|65665658|1|DATA recv from 10 seqn 2|NA|NA
1|65708017|10| |1870|1665
1|65783740|8| |1452|0
1|65823773|4| |4461|11007
1|65823944|9| |1446|0
1|65927444|5| |2197|2996
1|66059774|1| |163838|0
1|70334218|6| |1397|0
1|70465228|2| |1080|0
1|70531324|3| |1409|90
1|70604404|7| |1361|0
1|70708020|10| |1133|2987
1|70783702|8| |1080|0
1|70822334|4| |1080|0
